formula_file,execution_time_in,timeout,start_time,num_vars,independent_support_size,num_clauses,tot_num_models,max_component_split_depth,max_branch_var_depth,num_samples,num_second_pass_groups,avg_second_pass_var,execution_time,pass1_time,pass2_time
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case43.cnf,0.05056333541870117,False,Fri Jun  5 08:29:37 2020,116,17,421,16384,3,15,10,10,13.40,0.033458,0.023188,0.01027
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case_1_ptb_1.cnf,180.0,True,,,,,,,,,,,,,
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case130.cnf,0.32004761695861816,False,Fri Jun  5 08:32:37 2020,644,96,2056,562949953421312,3,28,10,10,382.00,0.295345,0.179036,0.116309
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case15.cnf,180.0,True,,,,,,,,,,,,,
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case8.cnf,0.07225918769836426,False,Fri Jun  5 08:35:38 2020,160,26,523,8388608,3,22,10,9,69.89,0.045145,0.027689,0.017456
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case125.cnf,0.0962972640991211,False,Fri Jun  5 08:35:38 2020,393,35,1554,4294967296,5,27,10,10,81.10,0.080569,0.053526,0.027043
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case144.cnf,0.8773000240325928,False,Fri Jun  5 08:35:39 2020,765,138,2339,4835703278458516698824704,10,50,10,10,380.30,0.857766,0.545352,0.312414
/home/samplingfm/Benchmarks/Blasted_Real/blasted_squaring27.cnf,0.7162268161773682,False,Fri Jun  5 08:35:39 2020,837,61,2902,28311561,3,29,10,8,421.50,0.694638,0.236878,0.45776
/home/samplingfm/Benchmarks/Blasted_Real/blasted_squaring40.cnf,180.0,True,,,,,,,,,,,,,
/home/samplingfm/Benchmarks/Blasted_Real/blasted_TR_b14_even3_linear.cnf,180.0,True,,,,,,,,,,,,,
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case210.cnf,1.2484643459320068,False,Fri Jun  5 08:41:41 2020,872,83,2933,1208925819614629174706176,3,85,10,10,458.30,1.21792,0.403625,0.8143
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case53.cnf,0.05139660835266113,False,Fri Jun  5 08:41:41 2020,132,21,395,262144,2,11,10,7,57.43,0.030025,0.015084,0.014941
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case143.cnf,0.35154199600219727,False,Fri Jun  5 08:41:41 2020,427,48,1592,134217728,7,25,10,9,125.89,0.329566,0.234908,0.094658
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case63.cnf,0.0535736083984375,False,Fri Jun  5 08:41:42 2020,96,19,298,35328,3,9,10,8,17.38,0.029882,0.015656,0.014226
/home/samplingfm/Benchmarks/Blasted_Real/blasted_TR_ptb_1_linear.cnf,180.0,True,,,,,,,,,,,,,
